building_area,roof_height,borough,construction_year,area_type,green_roof_area,clusters_5
56374,626,MN,1960,commercial,2497,1
6004,82,MN,1930,residential,1549,3
13474,145,MN,1990,residential,1175,3
46750,300,MN,1960,commercial,3828,1
14459,228,MN,1990,commercial,4728,1
19638,82,MN,1930,residential,1205,3
28493,104,MN,1990,residential,756,3
558,44,MN,1850,residential,234,3
949,13,BK,1930,commercial,153,0
12952,484,MN,1990,residential,1240,1
2466,14,BK,1930,residential,486,0
23959,95,QN,1900,residential,287,0
1182,21,BK,1900,commercial,639,0
1217,21,BK,1930,residential,168,0
9351,171,MN,1930,industrial,1589,3
23364,342,MN,1900,residential,88,1
6885,132,MN,1930,residential,554,3
9996,245,MN,1990,industrial,546,3
1751,40,MN,1900,commercial,457,3
115176,82,BX,1990,residential,5852,2
16469,184,MN,1930,commercial,737,3
40902,188,MN,1990,residential,12505,4
1012,48,MN,1900,industrial,586,3
2525,72,MN,1850,residential,890,3
46891,296,MN,1960,commercial,2523,1
72811,295,MN,1960,residential,4135,1
9129,75,MN,1990,residential,1172,3
18106,20,BK,1960,residential,2990,0
18475,194,MN,1990,residential,1569,3
35291,511,MN,1960,commercial,329,1
19383,166,MN,1960,residential,3915,3
2489,80,MN,1930,residential,552,3
4977,59,MN,1930,commercial,2188,3
1057,51,MN,1850,residential,75,3
22411,119,MN,1990,commercial,5342,3
9723,88,BK,1990,residential,1152,0
26346,137,BK,1990,commercial,2855,0
8094,65,BK,1930,public,2199,0
5614,111,MN,1850,commercial,228,3
9462,223,MN,1960,industrial,651,3
10443,74,BK,1930,commercial,3447,0
2486,75,MN,1990,industrial,258,3
7700,83,BX,1930,commercial,946,0
847,40,BK,1990,industrial,109,0
56895,708,MN,1930,residential,9836,1
4755,40,BK,1900,industrial,2784,0
71264,755,MN,1990,residential,3101,1
941,33,QN,1900,commercial,418,0
66989,389,MN,1900,residential,144,1
11307,119,BX,1990,industrial,2489,0
2050,28,BK,1930,industrial,364,0
48360,252,MN,1990,commercial,5086,1
1855,62,MN,1900,residential,557,3
5385,64,BK,1930,residential,1527,0
14728,275,MN,1990,commercial,1283,1
4491,144,MN,1850,residential,418,3
13116,166,MN,1990,industrial,520,3
1953,85,MN,1900,residential,258,3
9890,256,MN,1900,commercial,209,3
31007,214,MN,1990,commercial,6223,1
16830,184,MN,1990,industrial,578,3
15871,277,MN,1900,residential,587,3
21137,258,MN,1960,commercial,5016,1
34106,49,BX,1960,residential,1492,0
18384,74,MN,1990,commercial,999,3
23929,283,MN,1960,commercial,4780,1
1926,60,MN,1900,industrial,136,3
1096,35,BK,1800,commercial,187,0
1497,54,MN,1900,commercial,97,3
7114,29,MN,1930,residential,434,3
11265,107,MN,1990,residential,1810,3
11315,80,MN,1990,residential,2089,3
28215,77,MN,1960,residential,14489,4
18965,100,MN,1990,residential,261,3
29327,17,MN,1960,residential,14971,4
19871,138,BK,1900,commercial,731,0
18022,152,BK,1990,residential,864,0
10642,309,MN,1990,residential,278,1
5553,372,MN,1990,commercial,336,1
11109,56,BX,1990,commercial,1375,0
3051,71,BK,1990,residential,164,0
70910,35,QN,1960,commercial,10351,4
3502,44,BK,1990,residential,789,0
2215,83,MN,1930,commercial,397,3
5116,88,MN,1900,industrial,314,3
27162,393,MN,1990,residential,9907,1
833,49,MN,1900,commercial,351,3
1311,64,MN,1900,commercial,235,3
13346,351,MN,1960,residential,737,1
1059,28,BK,1850,residential,121,0
35374,86,BK,1990,residential,4857,0
14737,31,BX,1930,commercial,2007,0
6661,113,MN,1900,residential,1045,3
3246,61,MN,1990,residential,891,3
5664,74,MN,1900,industrial,2834,3
8220,75,BK,1900,industrial,269,0
25180,48,MN,1930,residential,8440,0
1214,59,MN,1900,residential,473,3
31166,247,MN,1960,industrial,3267,1
54940,511,MN,1930,residential,6039,1
5038,53,MN,1900,commercial,1019,3
32605,253,MN,1990,commercial,931,1
28576,56,MN,1990,commercial,3724,3
6634,240,MN,1990,industrial,157,3
1245,42,MN,1930,residential,308,3
20328,74,MN,1990,commercial,3146,3
7973,142,MN,1960,commercial,391,3
20073,227,MN,1930,residential,581,3
35464,366,MN,1960,residential,2530,1
14019,69,BK,1930,industrial,1057,0
16666,127,MN,1900,commercial,7120,3
57712,176,MN,1960,commercial,2507,1
7981,185,MN,1960,industrial,280,3
35729,133,QN,1960,industrial,1339,0
51490,215,MN,1900,residential,571,3
92654,38,MN,1990,residential,4266,2
24223,20,QN,1930,commercial,718,0
16035,37,QN,1930,residential,1019,0
58958,191,BX,1930,commercial,8823,4
2049,62,MN,1900,industrial,1084,3
6349,104,MN,1900,residential,848,3
925,33,BX,1990,residential,719,0
11729,104,MN,1990,residential,658,3
27267,355,MN,1990,industrial,1171,1
12971,173,MN,1850,residential,615,3
1253,42,MN,1930,commercial,266,3
71774,162,MN,1960,commercial,5082,2
90706,483,MN,1960,commercial,15112,4
8679,146,MN,1900,residential,141,3
4088,75,MN,1900,residential,163,3
23710,382,MN,1990,commercial,6858,1
43174,591,MN,1990,commercial,9757,1
27431,446,MN,1990,commercial,4288,1
10579,132,BX,1990,commercial,1317,0
10586,258,MN,1990,commercial,367,1
5952,45,MN,1930,residential,1418,3
14609,57,MN,1960,residential,1074,3
7158,67,BX,1990,commercial,4492,0
647,49,BK,1900,commercial,115,0
862,35,BK,1900,commercial,470,0
58449,150,MN,1850,residential,380,3
23809,17,BK,1930,residential,216,0
2283,92,MN,1900,industrial,530,3
56132,27,MN,1930,residential,26045,4
1254,55,MN,1900,industrial,167,3
12477,8,BX,1960,residential,6935,0
16336,50,MN,1960,residential,1323,3
17263,76,BK,1900,residential,997,0
22751,213,MN,1990,industrial,873,3
1464,52,BK,1850,commercial,308,0
2558,38,BK,1930,industrial,327,0
14438,78,BX,1990,commercial,2678,0
11634,63,BX,1990,residential,1846,0
9559,67,BX,1990,industrial,2276,0
36217,142,MN,1960,commercial,12332,4
178941,76,QN,1960,residential,722,2
94358,145,BK,1990,residential,10755,2
59259,376,MN,1960,residential,2400,1
28514,34,MN,1990,residential,1797,3
30002,53,MN,1960,commercial,2649,3
10766,40,QN,1850,commercial,2155,0
4632,164,MN,1900,industrial,339,3
35424,97,MN,1960,commercial,2711,3
43540,217,MN,1990,commercial,4803,1
2182,80,MN,1990,commercial,193,3
2379,34,BK,1930,commercial,1134,0
133265,48,BX,1960,commercial,15220,2
5876,99,BX,1990,residential,729,0
17962,25,BK,1990,industrial,6789,0
20294,75,BX,1990,residential,8906,0
4429,52,BX,1930,residential,1849,0
6946,21,MN,1990,industrial,1821,3
4452,95,MN,1930,residential,176,3
35560,343,MN,1990,residential,1040,1
53465,449,MN,1990,commercial,2939,1
2111,46,MN,1900,residential,157,3
12299,13,BK,1990,residential,989,0
1274,39,MN,1850,commercial,264,3
1266,46,BK,1850,residential,84,0
52671,272,MN,1990,residential,12428,4
3267,71,MN,1930,residential,1889,3
3850,61,BK,1930,residential,522,0
48925,91,MN,1990,commercial,1928,3
47429,544,MN,1930,residential,15313,4
99099,64,MN,1960,residential,1072,2
5577,31,QN,1930,residential,829,0
27075,68,BK,1930,commercial,12897,4
17045,23,BK,1930,residential,8592,0
163243,259,MN,1930,residential,466,2
6414,104,MN,1800,residential,1525,3
2941,118,MN,1990,public,343,3
4350,175,MN,1990,industrial,309,3
20051,23,MN,1960,commercial,8139,3
2164,84,MN,1900,industrial,357,3
