green_roof_area,building_area,ratio_green_area,construction_year,roof_height,ground_elev,digitized,borough,xcoord,ycoord,area_type
955,4905,0.19,1990,14,38,0,MN,-73.99589,40.72127,industrial
867,16597,0.05,1960,80,13,1,MN,-74.00226,40.74837,commercial
9622,57561,0.17,1930,8,30,0,MN,-73.99726,40.72831,residential
4960,17186,0.29,1990,155,28,0,MN,-73.98933,40.77251,commercial
942,8587,0.11,1900,113,28,0,MN,-73.99902,40.72245,commercial
41,734,0.06,1900,49,37,0,MN,-73.99015,40.7244,industrial
699,22095,0.03,1990,605,40,1,MN,-73.9903,40.74864,commercial
241,1614,0.15,1900,21,46,0,QN,-73.92843,40.75582,commercial
2412,12322,0.2,1990,54,21,0,BK,-73.91079,40.656,industrial
52131,174248,0.3,1930,201,25,1,MN,-74.00012,40.75131,residential
1960,13655,0.14,1930,127,71,1,MN,-73.97765,40.75852,industrial
636,12822,0.05,1930,210,70,0,MN,-73.9619,40.77583,commercial
3974,10204,0.39,1990,64,72,1,BX,-73.90082,40.82249,commercial
290,3074,0.09,1930,29,6,0,BK,-73.98237,40.57849,residential
1398,23806,0.06,1930,295,79,0,MN,-73.98137,40.76737,residential
734,17920,0.04,1900,336,76,0,MN,-73.97954,40.75149,commercial
3417,43385,0.08,1930,49,43,0,BK,-74.03295,40.60918,commercial
9409,28805,0.33,1960,83,16,0,MN,-74.01639,40.71081,residential
3630,3721,0.98,1930,15,38,0,BK,-74.03206,40.60893,residential
5178,35650,0.15,1960,299,16,0,MN,-74.01662,40.71046,residential
1365,2856,0.48,1930,62,39,0,BK,-73.95361,40.64716,residential
247,2562,0.1,1850,90,15,0,MN,-74.00082,40.71939,residential
363,24043,0.02,1960,319,39,0,MN,-73.97128,40.75372,industrial
1632,129,12.56,1990,8,41,1,QN,-73.93737,40.75018,commercial
123,2836,0.04,1900,91,6,0,MN,-74.00336,40.72309,industrial
2091,13588,0.15,1930,129,69,1,MN,-73.97787,40.75821,industrial
1929,36956,0.05,1900,331,41,0,MN,-73.99022,40.75277,commercial
2642,71875,0.04,1960,179,141,0,MN,-73.95991,40.80734,industrial
32252,64956,0.5,1990,299,85,0,MN,-73.96655,40.79472,residential
78,1507,0.05,1990,43,9,0,MN,-74.0043,40.74795,residential
262,14039,0.02,1930,228,66,0,MN,-73.9659,40.77307,commercial
195,2495,0.08,1900,88,77,0,MN,-73.96367,40.77667,residential
1368,57157,0.02,1900,281,121,0,QN,-73.82722,40.71189,residential
226,6611,0.03,1900,183,55,0,MN,-73.96469,40.77336,commercial
280,522,0.54,1900,49,38,0,MN,-73.99021,40.72434,commercial
8915,162276,0.05,1990,79,13,0,QN,-73.83997,40.77192,commercial
6688,20021,0.33,1960,491,64,0,MN,-73.97882,40.76123,industrial
220,1696,0.13,1990,75,11,0,MN,-74.00117,40.70889,commercial
360,585,0.62,1990,40,46,0,BK,-73.9612,40.71431,commercial
726,13756,0.05,1900,168,102,1,MN,-73.97136,40.79232,residential
5484,71917,0.08,1960,92,74,1,MN,-73.98408,40.77341,commercial
161,940,0.17,1850,39,23,0,MN,-74.00344,40.73476,commercial
1160,20275,0.06,1930,149,12,0,QN,-73.94425,40.74455,residential
1957,9725,0.2,1990,77,64,0,BX,-73.89254,40.82481,industrial
9518,157733,0.06,1960,296,49,0,BK,-74.0245,40.63926,residential
3103,45605,0.07,1990,328,9,0,MN,-73.99124,40.77394,residential
888,16739,0.05,1960,104,65,0,QN,-73.79145,40.70907,residential
520,4375,0.12,1900,70,37,0,MN,-73.99608,40.72051,residential
369,9354,0.04,1930,142,51,0,BK,-73.97394,40.64907,commercial
163,3800,0.04,1930,25,10,0,BK,-73.9867,40.67791,residential
390,2455,0.16,1900,76,13,0,MN,-74.00919,40.72189,industrial
12892,76300,0.17,1960,273,43,1,MN,-73.98913,40.73458,commercial
5808,26433,0.22,1990,198,60,0,MN,-73.95049,40.78705,commercial
7636,47484,0.16,1990,122,84,0,SI,-74.07732,40.64069,commercial
832,4343,0.19,1900,93,19,0,MN,-74.00057,40.72403,commercial
5639,17873,0.32,1900,40,52,1,BX,-73.87856,40.85475,industrial
667,9451,0.07,1990,70,22,0,BK,-73.95686,40.72025,public
1127,23742,0.05,1990,188,8,0,MN,-74.00916,40.73711,industrial
633,4251,0.15,1990,50,141,1,BK,-73.98007,40.6651,commercial
4063,47340,0.09,1990,259,44,0,MN,-73.99051,40.73406,residential
621,3220,0.19,1930,28,6,0,BK,-73.98214,40.5786,commercial
2194,17717,0.12,1900,143,36,0,MN,-73.99186,40.74199,residential
4347,34048,0.13,1960,294,73,0,BK,-73.99219,40.6984,commercial
126,6897,0.02,1990,177,42,1,MN,-73.99174,40.72744,residential
2084,23800,0.09,1990,60,69,1,BK,-73.93511,40.69928,industrial
2441,127092,0.02,1900,191,9,0,BK,-74.00009,40.69312,residential
2467,24653,0.1,1990,300,9,0,MN,-74.01216,40.71663,industrial
263,8061,0.03,1900,94,15,0,MN,-74.0017,40.7251,commercial
307,2010,0.15,1900,29,104,0,BK,-73.9419,40.66703,industrial
2843,8882,0.32,1990,117,14,0,MN,-74.00993,40.71987,residential
1372,17787,0.08,1930,25,25,1,MN,-73.94245,40.82429,commercial
1315,27154,0.05,1960,403,33,0,MN,-73.95236,40.76685,public
1538,9437,0.16,1960,161,44,0,MN,-73.95793,40.76896,residential
80,4862,0.02,1990,120,31,1,BK,-73.98883,40.67101,commercial
930,2821,0.33,1900,55,21,0,MN,-74.0065,40.73414,residential
752,1731,0.43,1900,91,31,0,MN,-73.99823,40.73821,commercial
565,7247,0.08,1930,140,22,0,MN,-73.99893,40.73635,commercial
